resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
359,35,9,2,361,11,0,01:14.4,70
360,35,3,3,366,12,0,01:14.9,70
361,35,18,11,365,13,0,01:14.8,70
362,35,7,5,357,14,0,01:15.0,70
363,35,22,11,363,15,0,01:15.4,70
364,35,16,10,368,16,0,01:15.8,69
365,35,6,3,364,17,0,01:15.9,69
366,35,21,10,367,18,0,01:15.2,69
367,35,12,4,359,0,0,0,0
368,35,14,9,362,0,0,0,0
369,36,8,6,369,1,10,01:25.2,58
370,36,4,1,370,2,8,01:26.3,58
371,36,1,1,372,3,6,01:26.4,58
372,36,2,2,371,4,5,01:26.7,58
373,36,21,4,374,5,4,01:26.9,58
374,36,13,6,384,6,3,01:27.0,58
375,36,3,3,380,7,2,01:26.7,57
376,36,23,7,377,8,1,01:27.8,57
377,36,15,7,376,9,0,01:28.0,57
378,36,5,4,381,10,0,01:27.6,57
379,36,22,11,385,11,0,01:28.1,57
380,36,11,8,378,12,0,01:28.5,57
381,36,17,9,375,13,0,01:27.5,57
382,36,24,5,388,14,0,01:28.3,57
383,36,18,11,382,15,0,01:28.4,57
384,36,19,8,379,16,0,01:28.5,56
385,36,16,12,389,17,0,01:28.7,56
386,36,25,3,383,0,0,01:28.3,48
387,36,14,9,387,0,0,01:27.7,48
388,36,9,2,373,0,0,01:26.6,36
389,36,26,5,386,0,0,01:29.0,28
390,36,27,12,390,0,0,01:30.9,10
391,37,4,1,392,1,10,01:36.9,56
392,37,1,1,394,2,8,01:36.7,56
393,37,8,6,393,3,6,01:37.2,56
394,37,2,2,395,4,5,01:37.4,56
395,37,13,6,391,5,4,01:37.2,56
396,37,21,4,402,6,3,01:37.9,56
397,37,15,7,398,7,2,01:38.0,56
398,37,5,4,401,8,1,01:37.8,56
399,37,25,3,410,9,0,01:37.9,56
400,37,17,9,400,10,0,01:38.5,56
401,37,22,11,409,11,0,01:38.6,55
402,37,18,11,405,12,0,01:38.7,55
403,37,11,8,404,13,0,01:38.5,55
404,37,26,5,407,14,0,01:39.1,55
405,37,23,7,399,15,0,01:39.2,55
406,37,19,8,408,16,0,01:39.6,55
407,37,24,5,406,17,0,01:38.4,55
408,37,9,2,397,18,0,01:38.9,55
409,37,3,3,396,0,0,01:37.7,42
410,37,14,9,403,0,0,01:38.1,36
411,37,27,12,411,0,0,01:41.5,7
412,37,16,12,412,0,0,0,0
413,38,13,6,413,1,10,01:34.1,57
414,38,1,1,414,2,8,01:34.3,57
415,38,8,6,415,3,6,01:34.4,57
416,38,2,2,417,4,5,01:34.5,57
417,38,4,1,416,5,4,01:34.4,57
418,38,9,2,418,6,3,01:34.8,57
419,38,15,7,421,7,2,01:35.2,57
420,38,21,4,419,8,1,01:35.2,57
421,38,5,4,424,9,0,01:35.5,57
422,38,3,3,422,10,0,01:35.6,57
423,38,25,3,423,11,0,01:36.0,56
424,38,23,7,426,12,0,01:35.8,56
425,38,22,11,427,13,0,01:35.8,56
426,38,27,12,434,14,0,01:37.2,55
427,38,16,12,432,15,0,01:36.8,53
428,38,19,8,425,16,0,01:36.1,51
429,38,17,9,420,0,0,01:35.7,41
430,38,14,9,433,0,0,01:35.4,36
431,38,11,8,429,0,0,01:36.4,34
432,38,24,5,430,0,0,01:35.7,26
433,38,18,11,428,0,0,0,0
434,38,26,5,431,0,0,0,0
435,39,13,6,435,1,10,01:22.7,65
436,39,1,1,438,2,8,01:22.9,65
437,39,4,1,436,3,6,01:23.0,65
438,39,9,2,439,4,5,01:23.1,65
439,39,14,9,443,5,4,01:23.5,65
440,39,3,3,445,6,3,01:23.7,65
441,39,5,4,442,7,2,01:23.0,65
442,39,11,8,447,8,1,01:24.1,64
443,39,21,4,444,9,0,01:23.6,64
444,39,22,11,446,10,0,01:24.3,64
445,39,19,8,449,11,0,01:24.3,64
446,39,18,11,448,12,0,01:24.2,64
447,39,16,12,454,13,0,01:25.2,63
448,39,27,12,455,14,0,01:25.3,63
449,39,2,2,441,0,0,01:23.5,46
450,39,23,7,451,0,0,01:24.0,44
451,39,24,5,450,0,0,01:25.2,19
452,39,26,5,456,0,0,01:26.2,9
453,39,8,6,437,0,0,01:23.5,9
